,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average ret.,,,,,,,,,,,,,,,,,,,,#DIV/0!,Average ret.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Std,,,,,,,,,,,,,,,,,,,,,Std,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,,,,,,,,,,,,,,,,,,,,,SR,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skew,,,,,,,,,,,,,,,,,,,,,Skew,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurt,,,,,,,,,,,Proportional transaction costs,,,,,,,,,,Kurt,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600%,0.0200%,0.0400%,0.0200%,0.0700%,0.0600%,0.0300%,0.0200%,0.0000%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Excess return of investment 1USD in foreign currency, over the US risk free rate (not annualized) for a 1-month investment period ENDING on Date",,,,,,,,,Annualized interest rate as of Date,,,,,,,,,Carry rank,,,,,,,,,Positions,,,,,,,,,"Excess return on each position (i.e., position times excess return in columns B-J) NB: use the position at the RIGHT time, that is, position based on interest-rate known BEFORE the return period starts",,,,,,,,,,Excess return of portfolio,Trade sizes,,,,,,,,,Transaction costs,,,,,,,,,Total transaction cost,,"Excess return of portfolio, net of TC","Return of portfolio, incl. US riskfree, net of TC","Cumulative return of portfolio, net of TC",High water mark,Drawdown
Date,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Australia,Germany /Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,,Portfolio,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Australia,Germany/ Euro,Canada,Japan,New Zealand,Sweden,Switzerland,UK,US,Portfolio,,Portfolio,,,,
12/31/1979,,,,,,,,,,10.05%,8.69%,13.88%,8.13%,11.67%,10.53%,5.81%,17.13%,14.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1/31/1980,-0.04%,-1.24%,0.57%,-0.21%,-0.14%,-0.67%,-2.59%,2.40%,0.00%,10.15%,8.50%,14.13%,8.25%,12.06%,10.05%,5.44%,17.88%,14.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22%,1.01,,
2/29/1980,-1.19%,-2.40%,1.25%,-5.01%,-1.58%,-1.42%,-4.60%,0.71%,0.00%,10.05%,9.25%,14.13%,9.44%,12.08%,11.08%,5.75%,18.38%,17.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21%,1.02,,
3/31/1980,-1.94%,-9.65%,-4.50%,-0.51%,-3.53%,-6.50%,-9.34%,-4.93%,0.00%,12.98%,10.25%,15.63%,12.19%,12.18%,10.19%,7.13%,18.75%,19.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44%,1.04,,
4/30/1980,2.63%,7.42%,0.52%,4.32%,2.28%,5.50%,9.62%,4.53%,0.00%,13.13%,9.38%,15.25%,12.38%,12.09%,9.98%,6.13%,17.31%,14.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66%,1.06,,
5/30/1980,2.62%,0.73%,2.47%,6.50%,2.12%,0.36%,-0.04%,3.27%,0.00%,13.93%,9.19%,11.38%,12.69%,12.06%,10.60%,5.50%,17.13%,10.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18%,1.07,,
6/30/1980,1.66%,1.62%,1.08%,3.11%,0.25%,1.42%,2.51%,1.93%,0.00%,14.15%,9.50%,11.88%,12.63%,12.11%,11.21%,5.75%,17.19%,9.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85%,1.08,,
7/31/1980,-0.25%,-1.60%,-1.40%,-3.88%,-1.16%,-0.28%,-2.55%,-0.25%,0.00%,12.70%,8.44%,10.75%,12.75%,12.03%,10.53%,5.44%,16.00%,9.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82%,1.09,,
8/29/1980,1.26%,-0.54%,0.93%,4.05%,0.87%,-0.24%,-0.12%,2.42%,0.00%,12.18%,8.69%,10.88%,11.44%,11.90%,10.74%,6.06%,16.81%,12.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82%,1.10,,
9/30/1980,0.49%,-1.39%,-1.42%,3.89%,-0.11%,0.05%,-0.53%,0.24%,0.00%,11.38%,8.88%,11.88%,11.44%,11.67%,10.67%,5.94%,16.00%,14.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03%,1.11,,
10/31/1980,-0.02%,-5.50%,0.51%,-0.67%,-0.55%,-2.42%,-4.56%,2.21%,0.00%,11.20%,9.13%,12.88%,10.88%,11.65%,11.21%,5.44%,17.00%,15.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18%,1.12,,
11/28/1980,-1.04%,-1.36%,-2.11%,-2.68%,-2.21%,-1.94%,-2.00%,-3.17%,0.00%,11.80%,9.75%,14.13%,9.38%,11.65%,10.80%,6.31%,14.69%,18.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27%,1.13,,
12/31/1980,0.82%,-3.05%,-0.28%,5.63%,-0.25%,-1.96%,-2.80%,0.86%,0.00%,12.55%,9.19%,17.25%,9.44%,11.69%,10.67%,5.56%,14.94%,17.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51%,1.15,,
