yyyy.mm,Index,dividend,Rfree
1871-12,4.74,0.26,0.08321475
1872-12,5.07,0.3,0.091020901
1873-12,4.42,0.33,0.081986352
1874-12,4.54,0.33,0.048595911
1875-12,4.37,0.3,0.053962234
1876-12,3.58,0.3,0.047539957
1877-12,3.25,0.19,0.045251739
1878-12,3.45,0.18,0.040321783
1879-12,4.92,0.2,0.048155942
1880-12,5.84,0.26,0.048595911
1881-12,6.01,0.32,0.050795514
1882-12,5.84,0.32,0.047539957
1883-12,5.34,0.33,0.044195491
1884-12,4.34,0.31,0.039793453
1885-12,5.2,0.24,0.035389796
1886-12,5.64,0.22,0.048331931
1887-12,5.27,0.25,0.048595911
1888-12,5.14,0.23,0.039529279
1889-12,5.32,0.22,0.049387815
1890-12,4.6,0.22,0.060293161
1891-12,5.41,0.22,0.038296391
1892-12,5.51,0.24,0.044195491
1893-12,4.41,0.25,0.027988004
1894-12,4.3,0.21,0.021110812
1895-12,4.32,0.19,0.037591827
1896-12,4.22,0.18,0.028604995
1897-12,4.75,0.18,0.025872366
1898-12,5.65,0.2,0.022433656
1899-12,6.02,0.21,0.047539957
1900-12,6.87,0.3,0.037591827
1901-12,7.95,0.32,0.0392651
1902-12,8.05,0.33,0.048595911
1903-12,6.57,0.35,0.047275955
1904-12,8.25,0.31,0.033451674
1905-12,9.54,0.33,0.046923942
1906-12,9.84,0.4,0.050795514
1907-12,6.57,0.44,0.064687669
1908-12,9.03,0.4,0.02966262
1909-12,10.3,0.44,0.04076204
1910-12,9.05,0.47,0.036799143
1911-12,9.11,0.47,0.036446822
1912-12,9.38,0.48,0.048595911
1913-12,8.04,0.48,0.045867841
1914-12,7.35,0.42,0.034068383
1915-12,9.48,0.43,0.022962753
1916-12,9.8,0.56,0.030191397
1917-12,6.8,0.69,0.044195491
1918-12,7.9,0.57,0.046923942
1919-12,8.92,0.53,0.047539957
1920-12,6.81,0.51,0.058666164
1921-12,7.31,0.46,0.038911231
1922-12,8.78,0.51,0.036416922
1923-12,8.55,0.53,0.038711686
1924-12,10.16,0.55,0.025641504
1925-12,12.46,0.6,0.035020108
1926-12,13.49,0.69,0.031338273
1927-12,17.46,0.77,0.035763084
1928-12,23.15,0.85,0.045951524
1929-12,21.4,0.97,0.031950979
1930-12,15.51,0.98,0.016778554
1931-12,8.44,0.82,0.030531303
1932-12,6.82,0.5,0.002028278
1933-12,9.97,0.44,0.007611173
1934-12,9.26,0.45,0.002028144
1935-12,13.04,0.47,0.001521074
1936-12,17.06,0.72,0.002028407
1937-12,11.02,0.8,0.001216697
1938-12,12.69,0.51,0.000506824
1939-12,12.37,0.62,0.00040565
1940-12,10.53,0.67,0.000203251
1941-12,8.76,0.71,0.003549887
1942-12,9.52,0.59,0.003753084
1943-12,11.48,0.61,0.003753084
1944-12,13.1,0.64,0.003803997
1945-12,17.33,0.66,0.00380392
1946-12,15.13,0.71,0.003804044
1947-12,15.03,0.84,0.0097452
1948-12,15.19,0.93,0.011777913
1949-12,16.54,1.14,0.011066758
1950-12,19.75,1.47,0.014117762
1951-12,23.41,1.41,0.018496676
1952-12,26.04,1.41,0.020839601
1953-12,24.83,1.45,0.014219343
1954-12,34.97,1.54,0.010355078
1955-12,45.37,1.64,0.025426764
1956-12,46.44,1.74,0.033092269
1957-12,40.33,1.79,0.028075936
1958-12,53.49,1.75,0.027265783
1959-12,59.06,1.83,0.044655811
1960-12,56.8,1.95,0.022570741
1961-12,71.74,2.02,0.027059232
1962-12,62.64,2.13,0.029821065
1963-12,74.17,2.28,0.035954558
1964-12,83.96,2.5,0.038507235
1965-12,91.73,2.72,0.045780959
1966-12,81.33,2.87,0.049169681
1967-12,95.3,2.92,0.051424742
1968-12,106.5,3.07,0.063885301
1969-12,91.11,3.16,0.082055109
1970-12,90.05,3.14,0.049477638
1971-12,99.17,3.07,0.03809983
1972-12,117.5,3.15,0.052459086
1973-12,94.78,3.38,0.076382557
1974-12,67.07,3.6,0.072241224
1975-12,88.7,3.68,0.053075631
1976-12,104.7,4.05,0.044243193
1977-12,93.82,4.67,0.062632587
1978-12,96.11,5.07,0.094989994
1979-12,107.8,5.65,0.123571234
1980-12,133.5,6.16,0.147701695
1981-12,123.8,6.63,0.113942209
1982-12,139.4,6.87,0.081105746
1983-12,164.4,7.09,0.09198107
1984-12,164.5,7.53,0.08041724
1985-12,207.3,7.9,0.072138126
1986-12,248.6,8.28,0.057907944
1987-12,241,8.81,0.058006241
1988-12,276.5,9.75,0.082967997
1989-12,348.6,11.06,0.077383601
1990-12,328.75,12.09,0.065807878
1991-12,388.51,12.2,0.039332544
1992-12,435.64,12.39,0.031349975
1993-12,465.95,12.58,0.030633459
1994-12,455.19,13.17,0.056459236
1995-12,614.57,13.79,0.050603282
1996-12,743.25,14.9,0.051512623
1997-12,962.37,15.5,0.053204112
1998-12,1190.05,16.2,0.044374069
1999-12,1428.68,16.69,0.053324735
2000-12,1330.93,16.27,0.058490246
2001-12,1144.93,15.74,0.017169808
2002-12,899.18,16.07,0.011982161
2003-12,1080.64,17.39,0.009389575
2004-12,1199.21,19.44,0.022265173
2005-12,1262.07,22.22,0.040657284
2006-12,1416.42,24.88,0.049936034
2007-12,1479.22,27.73,0.032315107
2008-12,877.56,28.39,0.001166144
2009-12,1110.38,22.41,0.000608379
2010-12,1241.53,22.73,0.001267559
2011-12,1243.32,26.43,0.000152086
2012-12,1422.29,31.25,0.000506975
2013-12,1807.78,34.99,0.000709786
2014-12,2054.27,39.44,0.000456276
2015-12,2054.08,43.39,0.002028291
2016-12,2246.63,45.7,0.005021858
2017-12,2664.34,48.93,0.013863251
2018-12,2567.31,53.75,0.02358841
2019-12,3176.749524,58.24,0.01530729
