yyyy.mm,Index,dividend,Rfree
1871-01,4.44,0.26,0.004814302
1871-02,4.5,0.26,0.004396308
1871-03,4.61,0.26,0.004137495
1871-04,4.74,0.26,0.004507978
1871-05,4.86,0.26,0.003610395
1871-06,4.82,0.26,0.003299604
1871-07,4.73,0.26,0.003186301
1871-08,4.79,0.26,0.003624495
1871-09,4.84,0.26,0.004424239
1871-10,4.59,0.26,0.00674447
1871-11,4.64,0.26,0.00623366
1871-12,4.74,0.26,0.006683338
1872-01,4.86,0.2633,0.005561446
1872-02,4.88,0.2667,0.005050237
1872-03,5.04,0.27,0.005781542
1872-04,5.18,0.2733,0.005809013
1872-05,5.18,0.2767,0.004800402
1872-06,5.13,0.28,0.003962165
1872-07,5.1,0.2833,0.004277494
1872-08,5.04,0.2867,0.005050237
1872-09,4.95,0.29,0.006724097
1872-10,4.97,0.2933,0.007265662
1872-11,4.95,0.2967,0.007817136
1872-12,5.07,0.3,0.007285903
1873-01,5.11,0.3025,0.00623366
1873-02,5.15,0.305,0.006301949
1873-03,5.11,0.3075,0.006805557
1873-04,5.04,0.31,0.007669538
1873-05,5.05,0.3125,0.005437387
1873-06,4.98,0.315,0.004542844
1873-07,4.97,0.3175,0.004270499
1873-08,4.97,0.32,0.004703042
1873-09,4.59,0.3225,0.009581334
1873-10,4.19,0.325,0.011025626
1873-11,4.04,0.3275,0.009725586
1873-12,4.42,0.33,0.006588154
1874-01,4.66,0.33,0.004967042
1874-02,4.8,0.33,0.003962165
1874-03,4.73,0.33,0.004060396
1874-04,4.6,0.33,0.004137495
1874-05,4.48,0.33,0.003723124
1874-06,4.46,0.33,0.003652686
1874-07,4.46,0.33,0.003687912
1874-08,4.47,0.33,0.003568083
1874-09,4.54,0.33,0.004137495
1874-10,4.53,0.33,0.003828668
1874-11,4.57,0.33,0.003694956
1874-12,4.54,0.33,0.003962165
1875-01,4.54,0.3275,0.003433952
1875-02,4.53,0.325,0.00339155
1875-03,4.59,0.3225,0.00389193
1875-04,4.65,0.32,0.003568083
1875-05,4.47,0.3175,0.00294502
1875-06,4.38,0.315,0.002937913
1875-07,4.39,0.3125,0.00276716
1875-08,4.41,0.31,0.003214642
1875-09,4.37,0.3075,0.003884903
1875-10,4.3,0.305,0.004179519
1875-11,4.37,0.3025,0.004235519
1875-12,4.37,0.3,0.004389323
1876-01,4.46,0.3,0.004270499
1876-02,4.52,0.3,0.003490455
1876-03,4.51,0.3,0.003532806
1876-04,4.34,0.3,0.003610395
1876-05,4.18,0.3,0.003292528
1876-06,4.15,0.3,0.00307994
1876-07,4.1,0.3,0.002410297
1876-08,3.93,0.3,0.002259957
1876-09,3.69,0.3,0.00307994
1876-10,3.67,0.3,0.003730164
1876-11,3.6,0.3,0.003568083
1876-12,3.58,0.3,0.003877876
1877-01,3.55,0.2908,0.003645639
1877-02,3.34,0.2817,0.002902368
1877-03,3.17,0.2725,0.002859694
1877-04,2.94,0.2633,0.002816999
1877-05,2.94,0.2542,0.002546085
1877-06,2.73,0.245,0.002588919
1877-07,2.85,0.2358,0.002645998
1877-08,3.05,0.2267,0.003709041
1877-09,3.24,0.2175,0.004228521
1877-10,3.31,0.2083,0.004835147
1877-11,3.26,0.1992,0.00409545
1877-12,3.25,0.19,0.003694956
1878-01,3.25,0.1892,0.00385679
1878-02,3.18,0.1883,0.003476332
1878-03,3.24,0.1875,0.003342053
1878-04,3.33,0.1867,0.003511633
1878-05,3.34,0.1858,0.002923697
1878-06,3.41,0.185,0.002410297
1878-07,3.48,0.1842,0.002259957
1878-08,3.45,0.1833,0.002410297
1878-09,3.52,0.1825,0.00298765
1878-10,3.48,0.1817,0.003575137
1878-11,3.47,0.1808,0.003342053
1878-12,3.45,0.18,0.003299604
1879-01,3.58,0.1817,0.002781403
1879-02,3.71,0.1833,0.002410297
1879-03,3.65,0.185,0.003299604
1879-04,3.77,0.1867,0.003575137
1879-05,3.94,0.1883,0.002859694
1879-06,3.96,0.19,0.002724417
1879-07,4.04,0.1917,0.002474645
1879-08,4.07,0.1933,0.003652686
1879-09,4.22,0.195,0.00380757
1879-10,4.68,0.1967,0.003920031
1879-11,4.93,0.1983,0.004137495
1879-12,4.92,0.2,0.003927055
1880-01,5.11,0.205,0.003525749
1880-02,5.2,0.21,0.003476332
1880-03,5.3,0.215,0.003610395
1880-04,5.18,0.22,0.003610395
1880-05,4.77,0.225,0.00339155
1880-06,4.79,0.23,0.002937913
1880-07,5.01,0.235,0.002859694
1880-08,5.19,0.24,0.003278372
1880-09,5.18,0.245,0.003433952
1880-10,5.33,0.25,0.003342053
1880-11,5.61,0.255,0.003568083
1880-12,5.84,0.26,0.003962165
1881-01,6.19,0.265,0.003433952
1881-02,6.17,0.27,0.003525749
1881-03,6.24,0.275,0.003645639
1881-04,6.22,0.28,0.00339155
1881-05,6.5,0.285,0.002588919
1881-06,6.58,0.29,0.002188272
1881-07,6.35,0.295,0.002546085
1881-08,6.2,0.3,0.003221725
1881-09,6.25,0.305,0.003744243
1881-10,6.15,0.31,0.004137495
1881-11,6.19,0.315,0.004172517
1881-12,6.01,0.32,0.004137495
1882-01,5.92,0.32,0.003610395
1882-02,5.79,0.32,0.003589242
1882-03,5.78,0.32,0.003709041
1882-04,5.78,0.32,0.003299604
1882-05,5.71,0.32,0.003150863
1882-06,5.68,0.32,0.003342053
1882-07,6,0.32,0.00298765
1882-08,6.18,0.32,0.003716083
1882-09,6.24,0.32,0.004487051
1882-10,6.07,0.32,0.004431221
1882-11,5.81,0.32,0.004312456
1882-12,5.84,0.32,0.003877876
1883-01,5.81,0.3208,0.003610395
1883-02,5.68,0.3217,0.003525749
1883-03,5.75,0.3225,0.004228521
1883-04,5.87,0.3233,0.003828668
1883-05,5.77,0.3242,0.003504574
1883-06,5.82,0.325,0.003610395
1883-07,5.73,0.3258,0.003101223
1883-08,5.47,0.3267,0.003687912
1883-09,5.53,0.3275,0.003962165
1883-10,5.38,0.3283,0.003962165
1883-11,5.46,0.3292,0.003744243
1883-12,5.34,0.33,0.003610395
1884-01,5.18,0.3283,0.003179215
1884-02,5.32,0.3267,0.00307994
1884-03,5.3,0.325,0.00298765
1884-04,5.06,0.3233,0.003058651
1884-05,4.65,0.3217,0.003299604
1884-06,4.46,0.32,0.003786466
1884-07,4.46,0.3183,0.003927055
1884-08,4.74,0.3167,0.003610395
1884-09,4.59,0.315,0.003610395
1884-10,4.44,0.3133,0.003610395
1884-11,4.35,0.3117,0.00339155
1884-12,4.34,0.31,0.003257134
1885-01,4.24,0.3042,0.003037357
1885-02,4.37,0.2983,0.002902368
1885-03,4.38,0.2925,0.002881034
1885-04,4.37,0.2867,0.002524659
1885-05,4.32,0.2808,0.002317262
1885-06,4.3,0.275,0.002224122
1885-07,4.46,0.2692,0.002188272
1885-08,4.71,0.2633,0.002317262
1885-09,4.65,0.2575,0.00236737
1885-10,4.92,0.2517,0.002546085
1885-11,5.24,0.2458,0.002859694
1885-12,5.2,0.24,0.002902368
1886-01,5.2,0.2383,0.00276716
1886-02,5.3,0.2367,0.002474645
1886-03,5.19,0.235,0.002453201
1886-04,5.12,0.2333,0.002724417
1886-05,5.02,0.2317,0.002588919
1886-06,5.25,0.23,0.002438902
1886-07,5.33,0.2283,0.002503228
1886-08,5.37,0.2267,0.00339155
1886-09,5.51,0.225,0.003828668
1886-10,5.65,0.2233,0.004004278
1886-11,5.79,0.2217,0.003905982
1886-12,5.64,0.22,0.003941101
1887-01,5.58,0.2225,0.003610395
1887-02,5.54,0.225,0.003122501
1887-03,5.67,0.2275,0.003504574
1887-04,5.8,0.23,0.003525749
1887-05,5.9,0.2325,0.003405686
1887-06,5.73,0.235,0.003349126
1887-07,5.59,0.2375,0.00409545
1887-08,5.45,0.24,0.004207524
1887-09,5.38,0.2425,0.004619499
1887-10,5.2,0.245,0.004228521
1887-11,5.3,0.2475,0.003786466
1887-12,5.27,0.25,0.003962165
1888-01,5.31,0.2483,0.003680868
1888-02,5.28,0.2467,0.003150863
1888-03,5.08,0.245,0.003412754
1888-04,5.1,0.2433,0.003539863
1888-05,5.17,0.2417,0.003129592
1888-06,5.01,0.24,0.002724417
1888-07,5.14,0.2383,0.002603193
1888-08,5.25,0.2367,0.002802762
1888-09,5.38,0.235,0.003455145
1888-10,5.35,0.2333,0.003306681
1888-11,5.24,0.2317,0.00307994
1888-12,5.14,0.23,0.00323589
1889-01,5.24,0.2292,0.003008956
1889-02,5.3,0.2283,0.002724417
1889-03,5.19,0.2275,0.002902368
1889-04,5.18,0.2267,0.002752915
1889-05,5.32,0.2258,0.002438902
1889-06,5.41,0.225,0.00246035
1889-07,5.3,0.2242,0.002831233
1889-08,5.37,0.2233,0.003370341
1889-09,5.5,0.2225,0.003455145
1889-10,5.4,0.2217,0.003962165
1889-11,5.35,0.2208,0.003962165
1889-12,5.32,0.22,0.004025327
1890-01,5.38,0.22,0.003504574
1890-02,5.32,0.22,0.003278372
1890-03,5.28,0.22,0.003610395
1890-04,5.39,0.22,0.00333498
1890-05,5.62,0.22,0.003299604
1890-06,5.58,0.22,0.003257134
1890-07,5.54,0.22,0.003292528
1890-08,5.41,0.22,0.003673824
1890-09,5.32,0.22,0.003786466
1890-10,5.08,0.22,0.00389193
1890-11,4.71,0.22,0.004487051
1890-12,4.6,0.22,0.004890707
1891-01,4.84,0.22,0.00384273
1891-02,4.9,0.22,0.003257134
1891-03,4.81,0.22,0.003433952
1891-04,4.97,0.22,0.003313756
1891-05,4.95,0.22,0.003525749
1891-06,4.85,0.22,0.003610395
1891-07,4.77,0.22,0.003680868
1891-08,4.93,0.22,0.003786466
1891-09,5.33,0.22,0.00380757
1891-10,5.33,0.22,0.003666779
1891-11,5.25,0.22,0.003299604
1891-12,5.41,0.22,0.003136683
1892-01,5.51,0.2217,0.002660261
1892-02,5.52,0.2233,0.002324422
1892-03,5.58,0.225,0.002531802
1892-04,5.57,0.2267,0.002166754
1892-05,5.57,0.2283,0.001944078
1892-06,5.54,0.23,0.001792894
1892-07,5.54,0.2317,0.002166754
1892-08,5.62,0.2333,0.002517516
1892-09,5.48,0.235,0.003051554
1892-10,5.59,0.2367,0.003370341
1892-11,5.57,0.2383,0.003356198
1892-12,5.51,0.24,0.003610395
1893-01,5.61,0.2408,0.003327906
1893-02,5.51,0.2417,0.00323589
1893-03,5.31,0.2425,0.004521926
1893-04,5.31,0.2433,0.003786466
1893-05,4.84,0.2442,0.004445182
1893-06,4.61,0.245,0.005678444
1893-07,4.18,0.2458,0.007319626
1893-08,4.08,0.2467,0.007130601
1893-09,4.37,0.2475,0.005547671
1893-10,4.5,0.2483,0.003898956
1893-11,4.57,0.2492,0.002816999
1893-12,4.41,0.25,0.002302939
1894-01,4.32,0.2467,0.002173927
1894-02,4.38,0.2433,0.002044715
1894-03,4.51,0.24,0.00185052
1894-04,4.57,0.2367,0.001900911
1894-05,4.4,0.2333,0.001778481
1894-06,4.34,0.23,0.001764066
1894-07,4.25,0.2267,0.001828915
1894-08,4.41,0.2233,0.001879318
1894-09,4.48,0.22,0.002030346
1894-10,4.34,0.2167,0.001655872
1894-11,4.34,0.2133,0.001677522
1894-12,4.3,0.21,0.001742438
1895-01,4.25,0.2083,0.001900911
1895-02,4.19,0.2067,0.002274287
1895-03,4.19,0.205,0.002481792
1895-04,4.37,0.2033,0.002524659
1895-05,4.61,0.2017,0.001663089
1895-06,4.7,0.2,0.001554764
1895-07,4.72,0.1983,0.001785688
1895-08,4.79,0.1967,0.002166754
1895-09,4.82,0.195,0.002567505
1895-10,4.75,0.1933,0.003101223
1895-11,4.59,0.1917,0.002638865
1895-12,4.32,0.19,0.00307994
1896-01,4.27,0.1892,0.003962165
1896-02,4.45,0.1883,0.003828668
1896-03,4.38,0.1875,0.003412754
1896-04,4.42,0.1867,0.003448081
1896-05,4.4,0.1858,0.002923697
1896-06,4.32,0.185,0.002724417
1896-07,4.04,0.1842,0.003292528
1896-08,3.81,0.1833,0.005223294
1896-09,4.01,0.1825,0.005561446
1896-10,4.1,0.1817,0.005602759
1896-11,4.38,0.1808,0.003497515
1896-12,4.22,0.18,0.002353057
1897-01,4.22,0.18,0.002051899
1897-02,4.18,0.18,0.001828915
1897-03,4.19,0.18,0.002066264
1897-04,4.06,0.18,0.002209784
1897-05,4.08,0.18,0.002209784
1897-06,4.27,0.18,0.001915302
1897-07,4.46,0.18,0.002116524
1897-08,4.75,0.18,0.002345899
1897-09,4.98,0.18,0.002617464
1897-10,4.82,0.18,0.002681652
1897-11,4.65,0.18,0.002102167
1897-12,4.75,0.18,0.002130879
1898-01,4.88,0.1817,0.002008787
1898-02,4.87,0.1833,0.001915302
1898-03,4.65,0.185,0.003008956
1898-04,4.57,0.1867,0.003786466
1898-05,4.87,0.1883,0.003008956
1898-06,5.06,0.19,0.0020016
1898-07,5.08,0.1917,0.002302939
1898-08,5.27,0.1933,0.002288614
1898-09,5.26,0.195,0.002624598
1898-10,5.15,0.1967,0.002123702
1898-11,5.32,0.1983,0.002044715
1898-12,5.65,0.2,0.00185052
1899-01,6.08,0.2008,0.001756857
1899-02,6.31,0.2017,0.001864921
1899-03,6.4,0.2025,0.002446052
1899-04,6.48,0.2033,0.002324422
1899-05,6.21,0.2042,0.002259957
1899-06,6.07,0.205,0.002051899
1899-07,6.28,0.2058,0.002302939
1899-08,6.44,0.2067,0.002795643
1899-09,6.37,0.2075,0.003214642
1899-10,6.34,0.2083,0.00339155
1899-11,6.46,0.2092,0.003553974
1899-12,6.02,0.21,0.003877876
1900-01,6.1,0.2175,0.003207557
1900-02,6.21,0.225,0.002831233
1900-03,6.26,0.2325,0.003172128
1900-04,6.34,0.24,0.002724417
1900-05,6.04,0.2475,0.002331581
1900-06,5.86,0.255,0.002317262
1900-07,5.86,0.2625,0.002567505
1900-08,5.94,0.27,0.002681652
1900-09,5.8,0.2775,0.002788523
1900-10,6.01,0.285,0.003292528
1900-11,6.48,0.2925,0.002831233
1900-12,6.87,0.3,0.00307994
1901-01,7.07,0.3017,0.002567505
1901-02,7.25,0.3033,0.002324422
1901-03,7.51,0.305,0.00236737
1901-04,8.14,0.3067,0.002524659
1901-05,7.73,0.3083,0.002524659
1901-06,8.5,0.31,0.002503228
1901-07,7.93,0.3117,0.002760038
1901-08,8.04,0.3133,0.002902368
1901-09,8,0.315,0.003214642
1901-10,7.91,0.3167,0.003008956
1901-11,8.08,0.3183,0.003058651
1901-12,7.95,0.32,0.003214642
1902-01,8.12,0.3208,0.002902368
1902-02,8.19,0.3217,0.002546085
1902-03,8.2,0.3225,0.002788523
1902-04,8.48,0.3233,0.002888146
1902-05,8.46,0.3242,0.002923697
1902-06,8.41,0.325,0.002859694
1902-07,8.6,0.3258,0.00298765
1902-08,8.83,0.3267,0.003143773
1902-09,8.85,0.3275,0.003687912
1902-10,8.57,0.3283,0.003920031
1902-11,8.24,0.3292,0.003786466
1902-12,8.05,0.33,0.003962165
1903-01,8.46,0.3317,0.003342053
1903-02,8.41,0.3333,0.003143773
1903-03,8.08,0.335,0.003687912
1903-04,7.75,0.3367,0.003412754
1903-05,7.6,0.3383,0.00307994
1903-06,7.18,0.34,0.003313756
1903-07,6.85,0.3417,0.003568083
1903-08,6.63,0.3433,0.003920031
1903-09,6.47,0.345,0.003962165
1903-10,6.26,0.3467,0.003849761
1903-11,6.28,0.3483,0.003941101
1903-12,6.57,0.35,0.00385679
1904-01,6.68,0.3467,0.003172128
1904-02,6.5,0.3433,0.003101223
1904-03,6.48,0.34,0.003030258
1904-04,6.64,0.3367,0.002588919
1904-05,6.5,0.3333,0.002488938
1904-06,6.51,0.33,0.002267123
1904-07,6.78,0.3267,0.002209784
1904-08,7.01,0.3233,0.00246035
1904-09,7.32,0.32,0.00276716
1904-10,7.75,0.3167,0.002831233
1904-11,8.17,0.3133,0.002638865
1904-12,8.25,0.31,0.002745791
1905-01,8.43,0.3117,0.002524659
1905-02,8.8,0.3133,0.002424601
1905-03,9.05,0.315,0.002496083
1905-04,8.94,0.3167,0.002524659
1905-05,8.5,0.3183,0.002531802
1905-06,8.6,0.32,0.00236737
1905-07,8.87,0.3217,0.002631732
1905-08,9.2,0.3233,0.002688781
1905-09,9.23,0.325,0.003058651
1905-10,9.36,0.3267,0.003221725
1905-11,9.31,0.3283,0.003666779
1905-12,9.54,0.33,0.003828668
