yyyy.mm,Index,dividend,Rfree
1871-03,4.61,0.26,0.012463913
1871-06,4.82,0.26,0.009931511
1871-09,4.84,0.26,0.013331526
1871-12,4.74,0.26,0.020184313
1872-03,5.04,0.27,0.017445097
1872-06,5.13,0.28,0.011933655
1872-09,4.95,0.29,0.020308237
1872-12,5.07,0.3,0.022017348
1873-03,5.11,0.3075,0.020555933
1873-06,4.98,0.315,0.013690539
1873-09,4.59,0.3225,0.029020289
1873-12,4.42,0.33,0.01989496
1874-03,4.73,0.33,0.012230714
1874-06,4.46,0.33,0.010998134
1874-09,4.54,0.33,0.012463913
1874-12,4.54,0.33,0.011933655
1875-03,4.59,0.3225,0.011721291
1875-06,4.38,0.315,0.008839657
1875-09,4.37,0.3075,0.011700046
1875-12,4.37,0.3,0.013225853
1876-03,4.51,0.3,0.010635905
1876-06,4.15,0.3,0.009268307
1876-09,3.69,0.3,0.009268307
1876-12,3.58,0.3,0.0116788
1877-03,3.17,0.2725,0.00860364
1877-06,2.73,0.245,0.007786883
1877-09,3.24,0.2175,0.012739279
1877-12,3.25,0.19,0.011125876
1878-03,3.24,0.1875,0.010059705
1878-06,3.41,0.185,0.007248333
1878-09,3.52,0.1825,0.008989754
1878-12,3.45,0.18,0.009931511
1879-03,3.65,0.185,0.009931511
1879-06,3.96,0.19,0.008195538
1879-09,4.22,0.195,0.011466257
1879-12,4.92,0.2,0.011827492
1880-03,5.3,0.215,0.010870338
1880-06,4.79,0.23,0.008839657
1880-09,5.18,0.245,0.010337272
1880-12,5.84,0.26,0.011933655
1881-03,6.24,0.275,0.010976839
1881-06,6.58,0.29,0.006579191
1881-09,6.25,0.305,0.01127484
1881-12,6.01,0.32,0.012463913
1882-03,5.78,0.32,0.011168445
1882-06,5.68,0.32,0.010059705
1882-09,6.24,0.32,0.013521645
1882-12,5.84,0.32,0.0116788
1883-03,5.75,0.3225,0.012739279
1883-06,5.82,0.325,0.010870338
1883-09,5.53,0.3275,0.011933655
1883-12,5.34,0.33,0.010870338
1884-03,5.3,0.325,0.008989754
1884-06,4.46,0.32,0.011402465
1884-09,4.59,0.315,0.010870338
1884-12,4.34,0.31,0.009803263
1885-03,4.38,0.2925,0.008668027
1885-06,4.3,0.275,0.006687218
1885-09,4.65,0.2575,0.007118938
1885-12,5.2,0.24,0.0087324
1886-03,5.19,0.235,0.007377673
1886-06,5.25,0.23,0.007334566
1886-09,5.51,0.225,0.011530036
1886-12,5.64,0.22,0.011869961
1887-03,5.67,0.2275,0.010550612
1887-06,5.73,0.235,0.010081066
1887-09,5.38,0.2425,0.013922614
1887-12,5.27,0.25,0.011933655
1888-03,5.08,0.245,0.010273241
1888-06,5.01,0.24,0.008195538
1888-09,5.38,0.235,0.01040129
1888-12,5.14,0.23,0.009739118
1889-03,5.19,0.2275,0.0087324
1889-06,5.41,0.225,0.007399224
1889-09,5.5,0.2225,0.01040129
1889-12,5.32,0.22,0.012124655
1890-03,5.28,0.22,0.010870338
1890-06,5.58,0.22,0.009803263
1890-09,5.32,0.22,0.011402465
1890-12,4.6,0.22,0.014743995
1891-03,4.81,0.22,0.010337272
1891-06,4.85,0.22,0.010870338
1891-09,5.33,0.22,0.011466257
1891-12,5.41,0.22,0.009439596
1892-03,5.58,0.225,0.007614652
1892-06,5.54,0.23,0.005388332
1892-09,5.48,0.235,0.009182625
1892-12,5.51,0.24,0.010870338
1893-03,5.31,0.2425,0.013627214
1893-06,4.61,0.245,0.017132251
1893-09,4.37,0.2475,0.016735514
1893-12,4.41,0.25,0.00692474
1894-03,4.51,0.24,0.005561841
1894-06,4.34,0.23,0.005301539
1894-09,4.48,0.22,0.006103413
1894-12,4.3,0.21,0.005236429
1895-03,4.19,0.205,0.007463869
1895-06,4.7,0.2,0.004671547
1895-09,4.82,0.195,0.007722308
1895-12,4.32,0.19,0.009268307
1896-03,4.38,0.1875,0.010273241
1896-06,4.32,0.185,0.008195538
1896-09,4.01,0.1825,0.0167773
1896-12,4.22,0.18,0.007075794
1897-03,4.19,0.18,0.00621161
1897-06,4.27,0.18,0.005756919
1897-09,4.98,0.18,0.007872962
1897-12,4.75,0.18,0.006406268
1898-03,4.65,0.185,0.009054058
1898-06,5.06,0.19,0.006016826
1898-09,5.26,0.195,0.007894478
1898-12,5.65,0.2,0.005561841
1899-03,6.4,0.2025,0.00735612
1899-06,6.07,0.205,0.006168336
1899-09,6.37,0.2075,0.00967496
1899-12,6.02,0.21,0.0116788
1900-03,6.26,0.2325,0.009546602
1900-06,5.86,0.255,0.006967906
1900-09,5.8,0.2775,0.008388918
1900-12,6.87,0.3,0.009268307
1901-03,7.51,0.305,0.007118938
1901-06,8.5,0.31,0.007528499
1901-09,8,0.315,0.00967496
1901-12,7.95,0.32,0.00967496
1902-03,8.2,0.3225,0.008388918
1902-06,8.41,0.325,0.00860364
1902-09,8.85,0.3275,0.01110459
1902-12,8.05,0.33,0.011933655
1903-03,8.08,0.335,0.01110459
1903-06,7.18,0.34,0.009974249
